Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Voter,Location- Which campus are you located?:,First Impressions- What did you think when you first saw the furniture?:,First Impressions- What piece of furniture caught your eye first?: 1,First Impressions- What piece of furniture caught your eye first?: 2,First Impressions- What piece of furniture caught your eye first?: 3,First Impressions- What piece of furniture caught your eye first?: 4,First Impressions- What piece of furniture caught your eye first?: 5,First Impressions- What piece of furniture caught your eye first?: 6,First Impressions- What piece of furniture caught your eye first?: 7,First Impressions- What piece of furniture caught your eye first?: 8,First Impressions- What piece of furniture caught your eye first?: 9,First Impressions- What piece of furniture caught your eye first?: 10,First Impressions- What piece of furniture caught your eye first?: 11,Comfort- Have you tested all 4 chairs?:,Comfort- Which is your favorite chair?:,Comfort- Why is it your favorite chair?: 1,Comfort- Why is it your favorite chair?: 2,Comfort- Why is it your favorite chair?: 3,Comfort- Why is it your favorite chair?: 4,Comfort- How comfortable is your favorite chair?:,Comfort- How long can you comfortably sit in your favorite chair?:,Functionality- Have you tested all 4 tables?:,Functionality- Which is your favorite desk?:,Functionality- Why is it your favorite desk?: 1,Functionality- Why is it your favorite desk?: 2,Functionality- Why is it your favorite desk?: 3,Functionality- Why is it your favorite desk?: 4,Functionality- Which desk gives you enough space to work? (select all that apply): 1,Functionality- Which desk gives you enough space to work? (select all that apply): 2,Functionality- Which desk gives you enough space to work? (select all that apply): 3,Functionality- Which desk gives you enough space to work? (select all that apply): 4,Functionality- Which desk gives you enough space to work? (select all that apply): 5,Functionality- How often are you rearranging the desks during class?:,Functionality- Which desk is easiest to move or adjust? (select all that apply): 1,Functionality- Which desk is easiest to move or adjust? (select all that apply): 2,Functionality- Which desk is easiest to move or adjust? (select all that apply): 3,Functionality- Which desk is easiest to move or adjust? (select all that apply): 4,Functionality- What are your complaints about the desks?: 1,Functionality- What are your complaints about the desks?: 2,Functionality- What are your complaints about the desks?: 3,Functionality- What are your complaints about the desks?: 4,Functionality- What are your complaints about the desks?: 5,Functionality- What are your complaints about the desks?: 6,Functionality- What are your complaints about the desks?: 7,Functionality- What are your complaints about the desks?: 8,Style- Is the most comfortable chair also your favorite chair design?:,Style- If you could redesign anything about the design of the chair what would it be?: 1,Style- If you could redesign anything about the design of the chair what would it be?: 2,Style- If you could redesign anything about the design of the chair what would it be?: 3,Style- If you could redesign anything about the design of the chair what would it be?: 4,Style- Is your favorite desk also your favorite desk design?:,"Style- If you could redesign anything about your favorite desk, what would it be?: 1","Style- If you could redesign anything about your favorite desk, what would it be?: 2",Overall Experience- How does the furniture affect the function of the classroom? :,Overall Experience- What is your overall feeling about the new classroom furniture?: 1,Overall Experience- What is your overall feeling about the new classroom furniture?: 2,Overall Experience- What is your overall feeling about the new classroom furniture?: 3,Overall Experience- Is there anything you miss about your old classroom?: 1,Overall Experience- Is there anything you miss about your old classroom?: 2,Overall Experience- Is there anything you miss about your old classroom?: 3,Overall Experience- Is there anything you miss about your old classroom?: 4,Overall Experience- Any other thoughts or suggesstions?: 1,Overall Experience- Any other thoughts or suggesstions?: 2
2025-12-17,28,Lee High School,How is this going to work?,That one,That one,That one,,,,,,,,,No,Chair 3,Because I like it a lot more.,,,,Neither comfortable nor uncomfortable,1/2 of the class,No,Desk 2,I can sit underneath it,,,,All of them,None of them,,,,Periodically (as needed),Desk 2,,,,Some of them I don't like and some of them I do like.,,,,,,,,Not my style,Add a couple eyes to the back so that it looks cool. I would also put a storage container underneath and put candy in it. I would ask for the design to have heated seats warmers in it. rolling wheels,,,,Could be better,We need build in gaming consoles. A cup holder is completely necessary. Also put in an outlet onto the table. We also need a little thingy,,No big difference,I like it but I could be better because we are about to live in 2026.,,,I used to be friends with John but he moved away because the furniture changed.,,,,We should allow phones in school. Teachers should be obligated to give us candy. Cushions on the course as well.  Let us have free time for 90% of the class pd.,Lunch should also be longer. We should get paid for every test we pass.
2025-12-17,29,Lee High School,"Wow, I love it!",I like how big the lighter desks are and how the chairs aren't too stiff.,The big desks.,Desks,,,,,,,,,Yes,Chair 3,"Big and comfortable, doesn't hurt my bottom.",,,,Very comfortable,Entire class,Yes,Desk 1,Spacious and easy to lay out school material for class without overcrowding.,,,,Desk 1,,,,,Classroom layout stays the same,Desk 1,,,,Too small and no space at times.,,,,,,,,It's fine,add foot rest.,,,,Yes. it's awesome,add a cup holder and things for your utensils,,It's a nice upgrade,is more comfortable and easy to work with,,,no,,,,no,
2025-12-17,30,Lee High School,It looks interesting,The chairs caught my eyes first then I noticed the table. It looks much better and is more comfortable than the other chairs that we used to have before these ones.,,,,,,,,,,,No,Chair 1,"I like it because it's more comfortable than the other chair I have tried. Even though I haven't tried the other ones, I liked option 1 over option 2.",,,,Very comfortable,Entire class,Yes,Desk 3,I like option 3 because there were a lot of room on them so I can multi-task and be more efficient with my time.,They have a lot of room to work in.,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,I don't like the wheels on the desks,,,,,,,,Could be better,I would make the chairs white because grey and white looks mediocre in the room but white would look pretty swaggy if you ask me. Don't make the desks grey because grey looks gloomy and depressing.,Make the chairs and desks pure white and not cream because cream would not match the colours of the school. You CANNOT make it cream. A pure white or an ivory would look nice with he schools colours.,,,Could be better,I like the colours of the desk. I would make it to where it has a cup holder because cup holders are necessary in order to prevent spills in the classroom.,,It's a nice upgrade,The colours are weird,,,no,,,,I would make either the chairs have wheels or take the wheels off the desks (I personally want wheely chairs but whatever is cheaper I suppose),
2025-12-17,31,Lee High School,"Wow, I love it!",The white and gray desks are better than the brown desks with the seat attached to them.,,,,,,,,,,,Yes,Chair 3,comfortable,,,,Very comfortable,Entire class,Yes,Desk 2,The desk I've used for most of the year.,,,,Desk 2,Desk 1,Desk 3,,,Periodically (as needed),Desk 2,,,,I have no complaints about the desks.,,,,,,,,Yes. it's awesome,Ima let Austin answer that one.,,,,Yes. it's awesome,"cupholder, and ima let Austin do this one too.",,No big difference,I like it more than the rooms in the 400s with the seats attached to the desks.,,,No,that there was more leniency to phones,,,lunch should be longer in return for a longer school day.,
2025-12-17,32,Lee High School,"Wow, I love it!",The fact that the chairs weren't connected to the table.,,,,,,,,,,,Yes,Chair 3,It is simply comfortable.,,,,Very comfortable,Entire class,Yes,Desk 1,It is able to hold everything I need.,,,,All of them,,,,,Periodically (as needed),Desk 2,,,,None.,,,,,,,,It's fine,Nothing.,,,,It's fine,Nothing.,,It's a nice upgrade,It's awesome.,,,No.,,,,None.,
2025-12-17,33,Lee High School,"Wow, I love it!",The clevertouch caught my eye first.,Chair and desks.,White board,,,,,,,,,Yes,Chair 4,Because it's comfortable.,,,,Very comfortable,Entire class,Yes,Desk 1,Because it has 4 legs.,,,,All of them,,,,,Periodically (as needed),Desk 1,,,,Nothing,,,,,,,,Could be better,I'll put something soft and warm.,,,,Yes. it's awesome,It's perfect.,,It's a nice upgrade,It's pretty good and comfortable.,,,No,,,,"No, thank you.",
2025-12-17,34,Lee High School,"Wow, I love it!",the desk that aren't connected to the chair.,,,,,,,,,,,Yes,Chair 1,It has a hook and is comfortable,,,,Somewhat comfortable,Entire class,Yes,Desk 1,I like the wood accent it looks nice,it has wheels and stacks on top of each other,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,no complaints about the new desk,,,,,,,,Yes. it's awesome,"adjustable arm rest, memory foam cusion",,,,Yes. it's awesome,cup holder,,It's a nice upgrade,It looks and works great,,,no,,,,,
2025-12-17,35,Lee High School,It looks interesting,I like the amount of space I have  in the desk they are light and easy to move and the chairs are comfy,the nice gray color,chair with pattern,,,,,,,,,Yes,Chair 3,I like it,,,,Somewhat comfortable,Entire class,Yes,Desk 3,looks the best and it has corners,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,The bar in the middle are terrible,,,,,,,,Could be better,cover the part where my bottom is,,,,Yes. it's awesome,make the locks more accessible,,No big difference,cool,,,the big desks,,,,I need big desks,"bigger desks please
makes unition and helps solve anxiety"
2025-12-17,36,Lee High School,"Wow, I love it!","the chairs, I liked how the chairs aren't connected to the desk",,,,,,,,,,,Yes,Chair 1,its comfy,,,,Very comfortable,Most of the time,Yes,Desk 2,has enough room,,,,Desk 2,Desk 3,Desk 1,,,Periodically (as needed),Desk 2,Desk 3,Desk 3,Desk 1,"The seats should have cushion, the desk should have cup holders, adjustable armrests, rolling chairs, red chairs, the whole desk should be a white board so we can draw on it.",,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,37,Lee High School,It looks interesting,none,,,,,,,,,,,No,Chair 3,Its not none of them are my favorite.,,,,Somewhat uncomfortable,1/2 of the class,No,Desk 3,its not as bad as the other ones,,,,Desk 3,,,,,Classroom layout stays the same,Desk 1,,,,none,,,,,,,,It's fine,cushions,,,,It's fine,none plain,,No big difference,I haven't seen it,,,no,,,,none,
2025-12-17,38,Lee High School,It looks interesting,the rolly ones are my favorite,the regular chairs are my favorite because they help me stay on track,,,,,,,,,,No,Chair 3,its flexible for stretching,,,,Somewhat comfortable,Entire class,No,Desk 3,it's rolly and it looks good,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,nothing,,,,,,,,It's fine,nothing,,,,It's fine,It doesn't need redesigning,,No big difference,"its fine, nothing new",,,no,,,,no,
2025-12-17,39,Lee High School,"Wow, I love it!",Unconnected desks and chairs,,,,,,,,,,,Yes,Chair 1,It's the most comfortable.,,,,Very comfortable,Entire class,Yes,Desk 3,It is very spacious.,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,None,,,,,,,,It's fine,Put wheels on them to move easily.,,,,It's fine,None,,It's a nice upgrade,I like it.,,,No,,,,,
2025-12-17,40,Lee High School,It looks interesting,unconnected desks and chairs,,,,,,,,,,,Yes,Chair 1,its the most comfy,,,,Very comfortable,Entire class,Yes,Desk 3,very spacy,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,none,,,,,,,,It's fine,make rolly chairs,,,,It's fine,,,It's a nice upgrade,its nice,,,nope,,,,nope,
2025-12-17,41,Lee High School,"Wow, I love it!",The chairs because I'll be sitting in them all day,,,,,,,,,,,Yes,Chair 3,Its big,,,,Very comfortable,Most of the time,Yes,Desk 1,Because its functional,,,,All of them,,,,,Periodically (as needed),Desk 1,,,,Needs cup holders and if possible a charging port,,,,,,,,Yes. it's awesome,arm rest and rolling wheels,,,,It's fine,Add cup holders and charging port,,It's a nice upgrade,Its cool,,,The old city carpets they had,,,,none,
2025-12-17,42,Lee High School,"Wow, I love it!",free standing desks and chairs,,,,,,,,,,,Yes,Chair 1,i can lean back in it,,,,Very comfortable,Entire class,Yes,Desk 3,very spacious,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,none,,,,,,,,Yes. it's awesome,higher back,,,,Yes. it's awesome,make it stackable,,It's a nice upgrade,love it,,,no,,,,nope,
2025-12-17,43,Lee High School,"Wow, I love it!",the chair and desk combos that are not connected,,,,,,,,,,,Yes,Chair 3,It is very spacious.,,,,Very comfortable,Entire class,Yes,Desk 1,It looks nice and has wheels,,,,All of them,,,,,Periodically (as needed),Desk 1,,,,I have none,,,,,,,,Could be better,I wish it had a clip like the other chair,,,,Yes. it's awesome,cup holder would be cool,,It's a nice upgrade,It's good,,,No,,,,no,
2025-12-17,44,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,45,Lee High School,It looks interesting,,,,,,,,,,,,Yes,Chair 3,,,,,Somewhat comfortable,Entire class,Yes,Desk 2,,,,,Desk 1,Desk 2,,,,Classroom layout stays the same,Desk 3,,,,,,,,,,,,Yes. it's awesome,,,,,It's fine,,,No big difference,,,,,,,,,
2025-12-17,46,Lee High School,"Wow, I love it!",They are more roomy,The desks,The desks,,,,,,,,,Yes,Chair 3,Most spacious and comfortable,,,,Very comfortable,Entire class,Yes,Desk 3,spacious,,,,All of them,,,,,Classroom layout stays the same,Desk 3,,,,move around a lot,,,,,,,,Yes. it's awesome,,,,,,,,,,,,,,,,,
2025-12-17,47,Lee High School,It looks interesting,The old ones with the chair still connected to the desk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,48,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,49,Lee High School,It looks interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,50,Lee High School,It looks interesting,The nice color and how spacious they are.,,,,,,,,,,,Yes,Chair 3,The grey ones.,,,,Very comfortable,Most of the time,Yes,Desk 3,Because it spacious,,,,All of them,,,,,Periodically (as needed),Desk 1,,,,Some of them transfer.,,,,,,,,Yes. it's awesome,Cup holder,,,,Yes. it's awesome,cup holder.,,It's a nice upgrade,I love it.,,,No,,,,NO.,
2025-12-17,51,Lee High School,"Wow, I love it!",the desks,desks,,,,,,,,,,Yes,Chair 4,its comfy,,,,Very comfortable,Entire class,Yes,Desk 3,it has a lot of space,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,h,,,,,,,,Yes. it's awesome,no,,,,Yes. it's awesome,no,,It's a nice upgrade,it feels nice,,,no,,,,no,
2025-12-17,52,Lee High School,"Wow, I love it!",the big desks.,,,,,,,,,,,Yes,Chair 2,it feels nice,,,,Very comfortable,Most of the time,Yes,Desk 1,Because there so big.,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,.,,,,,,,,Yes. it's awesome,to have candy despencer,,,,Yes. it's awesome,Nothing,storage container,It's a nice upgrade,Its amazing,,,no,,,,no,
2025-12-17,53,Lee High School,"Wow, I love it!",The White boards,The White boards,,,,,,,,,,No,Chair 4,It's good to sit back on,,,,Somewhat comfortable,Most of the time,Yes,Desk 1,Idc,,,,None of them,,,,,Daily,Desk 2,Desk 1,Desk 3,,idk,,,,,,,,It's fine,idk,,,,It's fine,idk,,It's a nice upgrade,idkl,,,idk,,,,no,
2025-12-17,54,Lee High School,It looks interesting,The chair it was very confy and very flexible,,,,,,,,,,,Yes,Chair 1,"It has a very large seat for me, and the back support is very comfortable",,,,Very comfortable,Entire class,No,Desk 1,Plenty of space to work,,,,Desk 1,,,,,Periodically (as needed),Desk 3,Desk 3,,,Don't have any,,,,,,,,It's fine,Its good I like it,,,,Yes. it's awesome,Its good,,It's a nice upgrade,"It's a nice upgrade, so I don't go insane as fast during test",,,"The designs, but I prefer utility over designs",,,,No,
2025-12-17,55,Lee High School,"Wow, I love it!",,,,,,,,,,,,Yes,Chair 3,because is really comfortable,,,,Very comfortable,Entire class,No,Desk 1,because I can use my chromebook comfortable,,,,Desk 2,Desk 3,,,,Periodically (as needed),Desk 3,Desk 2,,,,,,,,,,,Yes. it's awesome,,,,,Yes. it's awesome,,,It's a nice upgrade,,,,,,,,,
2025-12-17,56,Lee High School,It looks interesting,The chairs caught my eyes first.,,,,,,,,,,,No,Chair 1,It is comfortable and spacious.,,,,Very comfortable,Entire class,No,Desk 1,It offers plenty of space to do my school work and have multiple objects on the desk.,,,,Desk 1,,,,,Periodically (as needed),Desk 3,Desk 3,,,I do not currently have any complaints about the desks.,,,,,,,,It's fine,I lack ideas of how to improve the chair.,,,,Yes. it's awesome,I would not change anything about the desk.,,It's a nice upgrade,I overall like the new furniture.,,,Not particularly.,,,,There are none that I can think of.,
2025-12-17,57,Lee High School,"Wow, I love it!",The new desks,,,,,,,,,,,Yes,Chair 4,It is most comfortable,,,,Very comfortable,Entire class,Yes,Desk 2,Just the right height for me,,,,All of them,,,,,Periodically (as needed),Desk 2,,,,Some are too tall,,,,,,,,Could be better,I don't know,Nothing,,,It's fine,Nothing,,It's a nice upgrade,Good,,,No,,,,No,
2025-12-17,58,Lee High School,It looks interesting,There's furniture other than the desks we use?,,,,,,,,,,,No,Chair 4,I just do.,,,,Neither comfortable nor uncomfortable,Most of the time,No,Desk 1,It's the only one I've used.,,,,None of them,,,,,Periodically (as needed),Desk 3,,,,"Too tiny, not fun looking.",,,,,,,,Not my style,The entire thing.,,,,Not my style,Everything about it.,,No big difference,The furniture is new?,,,Nope.,,,,Why did you rename the school after a CONFEDERATE general who was PRO SLAVERY AND WAS FIGHTING FOR IT.,
2025-12-17,59,Lee High School,It looks interesting,Looks new,,,,,,,,,,,No,Chair 2,its comfortable,,,,Somewhat comfortable,Entire class,No,Desk 1,Spacious but put more space,,,,Desk 1,,,,,Classroom layout stays the same,Desk 1,,,,,,,,,,,,Yes. it's awesome,add arm rests on the chairs,,,,Yes. it's awesome,,,It's a nice upgrade,,,,,,,,,
2025-12-17,60,Lee High School,"Wow, I love it!",the chairs that are the widest,the wheels on the desk,,,,,,,,,,Yes,Chair 3,it is wider and the most comfortable,,,,Very comfortable,Entire class,Yes,Desk 3,it has things that poke out that i can rest my feet on,,,,Desk 3,,,,,Periodically (as needed),Desk 3,Desk 3,Desk 2,Desk 1,I don't like how some of them leave transfer marks from our pencils,,,,,,,,Could be better,a bar across where I could put my feet,,,,Yes. it's awesome,nothing,,It's a nice upgrade,I like it better than the old one,,,no,,,,no,
2025-12-17,61,Lee High School,It looks interesting,The new chairs in my math class. It would be nice if we got new furniture instead of old desks in other classrooms.,,,,,,,,,,,No,Chair 3,It's more comfortable,,,,Somewhat comfortable,Entire class,No,Desk 3,It is big enough for work and it can move easily,,,,All of them,,,,,Periodically (as needed),Desk 3,Desk 1,Desk 3,,nothing,,,,,,,,Could be better,arm rests,,,,It's fine,maybe a little bigger,,It's a nice upgrade,its better compared to the old desks,,,not really,,,,no,
2025-12-17,62,Lee High School,It looks interesting,That they were different.,,,,,,,,,,,No,Chair 3,it looks better,,,,Somewhat comfortable,Most of the time,No,Desk 1,I'm not sure,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,none,,,,,,,,It's fine,nothing,,,,Not my style,idk,,No big difference,they are good,,,no,,,,no,
2025-12-17,63,Lee High School,It looks interesting,The desks,,,,,,,,,,,Yes,Chair 3,its the most comfy one,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,,,,,All of them,,,,,Classroom layout stays the same,Desk 1,Desk 3,Desk 2,,none,,,,,,,,It's fine,make it more cozy by adding something on the bottom or the back,,,,It's fine,none,,No big difference,its nice,,,not really,,,,no,
2025-12-17,64,Lee High School,It looks interesting,The desks,The desks,,,,,,,,,,Yes,Chair 3,They were most comfortable,,,,Somewhat comfortable,1/2 of the class,Yes,Desk 3,it has space,,,,Desk 3,Desk 2,,,,Classroom layout stays the same,Desk 3,Desk 1,,,some are too small,,,,,,,,It's fine,Make the seating more comfortable,,,,It's fine,make them bigger,,No big difference,good,,,no,,,,no,
2025-12-17,65,Lee High School,It looks interesting,I really like how comfortable the chairs are compared to last years,,,,,,,,,,,Yes,Chair 1,Because its very comfortable for my glutes,,,,Somewhat comfortable,1/2 of the class,No,Desk 3,It's my favorite desk because its very spacious and I can accomodate it to my liking,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,Some of the desks are too small,,,,,,,,It's fine,"I would add some type of cushion to the chairs so I could concentrate and stay on task the longest, aslo making the desks a little bit bigger with a cup holder",,,,Yes. it's awesome,Make it a little bit bigger with a cup holder,,It's a nice upgrade,I like it,,,no,,,,no,
2025-12-17,66,Lee High School,It looks interesting,Nothing its furniture,,,,,,,,,,,No,Chair 2,Because it's the only chair ive sat on,,,,Somewhat comfortable,Most of the time,No,Desk 3,It looks cool,,,,Desk 2,Desk 3,,,,Classroom layout stays the same,Desk 3,Desk 1,Desk 3,Desk 2,Nothing,,,,,,,,It's fine,Nothing...It's a chair,,,,It's fine,Nothing,,It's a nice upgrade,I don't have a feeling about chairs or furniture,,,No,,,,NO,
2025-12-17,67,Lee High School,It looks interesting,The chairs and desks are all very similar.,,,,,,,,,,,No,Chair 3,It is comfortable and has a sleek modern look.,,,,Very comfortable,Entire class,Yes,Desk 1,"Because it is big, has plenty of space to work, and only 2 of the 4 legs have wheels.",,,,Desk 1,,,,,Classroom layout stays the same,Desk 1,,,,I have none.,,,,,,,,Yes. it's awesome,If the back of it was slanted backwards just a little bit more.,,,,Yes. it's awesome,Nothing,,It's a nice upgrade,I like it,,,No,,,,No,
2025-12-17,68,Lee High School,It looks interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,69,Lee High School,"Wow, I love it!",The chairs,,,,,,,,,,,No,Chair 4,Able to flex and its somewhat soft in a way,"It looks nice and sleek, also just works well",,,Somewhat comfortable,Most of the time,No,Desk 3,It's big enough to work on it. It is also able to be put next to other tables and wall easy.,,,,Desk 3,,,,,Periodically (as needed),Desk 3,Desk 3,,,"Not able to move up or down, doesn't have a leg rest on the desk",,,,,,,,Yes. it's awesome,Maybe different colors for the desk,,,,It's fine,"Different colors as well, black, brown, grey",,It's a nice upgrade,"They are nice, and look better than the old ones",,,I don't really miss anything about it,,,,No,
2025-12-17,70,Lee High School,"Wow, I love it!",the door as I left the class,the one that wasn't next to Damien viages,,,,,,,,,,No,Chair 4,hOlEs,,,,Somewhat comfortable,Most of the time,Yes,Desk 1,"nice leg space, desk no move",,,,Desk 2,Desk 1,,,,Classroom layout stays the same,Desk 3,,,,"I hate desk 3, no leg space,  move to easy, I HATE desk 3",,,,,,,,Could be better,"add some soft surface to the chairs, my butt always is numb after Starr testing",,,,Yes. it's awesome,rawr,,No big difference,deaduzz didn't even notice till this stupid survey,,,nope,,,,"none, this a waist of my time",
2025-12-17,71,Lee High School,It looks interesting,The tables are reliable and they don't break,,,,,,,,,,,Yes,Chair 3,its comfortable and more ergonomic than the others in my opinion.,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,it has 4 wheels which makes it easier to move around. It has more area than the others,,,,Desk 3,Desk 3,,,,Periodically (as needed),Desk 3,Desk 3,,,There aren't cup holders.,the wheels are often faulty,,,,,,,Could be better,it would have  leg rests and would be adjustable vertically.,It would be able to lean back a little for comfort,,,It's fine,"I would add cup holders, a charging port or something for our chromebooks, and better wheels.",,It's a nice upgrade,It's better than last time,,,N/A,,,,N/A,
2025-12-17,72,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,73,Lee High School,It looks interesting,,,,,,,,,,,,Yes,Chair 3,,,,,Very comfortable,Entire class,No,Desk 3,,,,,All of them,,,,,Periodically (as needed),Desk 2,,,,,,,,,,,,Yes. it's awesome,,,,,,,,,,,,,,,,,
2025-12-17,74,Lee High School,It looks interesting,All the chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,75,Midland Freshman High School,It looks interesting,The chairs because one will make a lot of noise when moving down and another one didn't make any noise and I like the ones that didn't make any noise because they look cool and I like the black color.,,,,,,,,,,,Yes,Chair 4,"I liked that chair because it didn't make any noise when I was scooting up so I don't get in the way, I like the black color it has and I think it is a cool chair.",,,,Very comfortable,Most of the time,Yes,Desk 2,It gives me a lot of room since the legs are outside instead of instead where I would have less room the work with.,,,,Desk 2,,,,,Classroom layout stays the same,Desk 3,,,,I have no complaints about the desks.,,,,,,,,It's fine,Change the color of the legs on the chair to black so you have an actual black seat.,,,,It's fine,Change the color of the wool table.,,No big difference,I like it.,,,No.,,,,No.,
2025-12-17,76,Midland Freshman High School,"Wow, I love it!","the chair is really comfy and it's a big upgrade from the other desks that are connected, i mostly like them separated",the desk was nice and had alot of space,,,,,,,,,,Yes,Chair 3,its really comfy and  i could move around more,,,,Very comfortable,Entire class,Yes,Desk 1,you can move your legs more and have more space to put stuff,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,nothing really,,,,,,,,Yes. it's awesome,"maybe some arm rests, your arm kinda hurts when you have to write all day",,,,Yes. it's awesome,nothing really,,It's a nice upgrade,its nice and i can focus more in class,,,nope,,,,no i dont think i have any more thing to ssay,
2025-12-17,77,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,78,Midland Freshman High School,It looks interesting,the long light gray desk and all the chairs,,,,,,,,,,,Yes,Chair 3,because they way it leans back,,,,Somewhat comfortable,Entire class,Yes,Desk 3,the way its made,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,don't have any,,,,,,,,It's fine,nothing,,,,It's fine,nothing,,No big difference,its good I like it,,,no,,,,no,
2025-12-17,79,Midland Freshman High School,It looks interesting,"the first thing that caught my eyes is how the desk were place i lowkey like it, the desk look cleaner and  look very expensive,the desk look cool",the chair bc it looks more modern and futuristic,the chair bc it looked more modern,the desk,,,,,,,,No,Chair 2,it helps my back feel better,,,,Very comfortable,Most of the time,No,Desk 3,because it looks cool,,,,Desk 3,Desk 3,,,,Classroom layout stays the same,Desk 3,Desk 3,Desk 2,Desk 1,im not complaining,,,,,,,,Yes. it's awesome,but some wheels,,,,It's fine,the color and something to put in my arm bc when we right in chromebooks they leave marks in my arm,,It's a nice upgrade,very tuff,,,no,,,,no,
2025-12-17,80,Midland Freshman High School,It looks interesting,"They all caught my attention because they looked nice and because they were all very interesting, and because I saw that many of them are very different.","The one with the taller tables, because I feel like it's more comfortable and much better.","The piece of furniture that caught my attention first was the chairs, which don't have holes in them, because I feel like those chairs are very uncomfortable.",,,,,,,,,Yes,Chair 3,My favorite chairs are the ones that are completely enclosed because I don't really like the others.,,,,Neither comfortable nor uncomfortable,Most of the time,Yes,Desk 1,My favorite desk is the one that's kind of round on top because I feel like it's better.,,,,Desk 3,Desk 1,,,,Weekly,Desk 1,Desk 2,,,"I have no complaints, although sometimes I feel that some are more uncomfortable than others.",,,,,,,,It's fine,I would remove the holes from the chairs because I think they are uncomfortable.,,,,It's fine,that they were a little taller and bigger,,No big difference,"I think it's fine, they look good.",,,"No, because I feel like it's the same.",,,,I have no further comments or suggestions.,
2025-12-17,81,Midland Freshman High School,It looks interesting,the bigger tables and the bigger chairs,the more room we have for the desks,,,,,,,,,,Yes,Chair 3,this chair is my favorite because it has good back space and the back can be very breathabel,its very comfurbel when using it,,,Somewhat comfortable,Most of the time,Yes,Desk 1,how much room it has,its not two wide but it can hold all of our stuff,,,Desk 1,Desk 2,,,,Periodically (as needed),Desk 1,Desk 3,,,no complaints there nice,,,,,,,,It's fine,I would make the more softer,,,,Yes. it's awesome,nnothig,,It's a nice upgrade,there nice there better then the old ones,,,no,,,,no,
2025-12-17,82,Midland Freshman High School,It looks interesting,That there´s all different types of chairs and desk in one room.,,,,,,,,,,,No,Chair 3,It don´t hurt my back.,,,,Somewhat comfortable,Most of the time,Yes,Desk 1,I just choose the best out of those but i don´t really like any because somtimes when i lean against the desk the weels start going.,,,,Desk 1,,,,,Classroom layout stays the same,Desk 1,,,,THE WEELS,,,,,,,,It's fine,I dont think i would change anthing,,,,It's fine,take the weels off or maybe have locks on them,,No big difference,Its okay,,,when there wasn´s weels on the desk,,,,no,
2025-12-17,83,Midland Freshman High School,It looks interesting,chair,,,,,,,,,,,No,Chair 1,it looks cool,,,,Somewhat comfortable,Most of the time,No,Desk 3,I can put my foot in the bottom thing,,,,All of them,,,,,Periodically (as needed),Desk 2,Desk 3,,,sometimes its hard to move around,,,,,,,,It's fine,add a drawer or something and more space,,,,It's fine,make it move easier,,No big difference,I like it better than the chairs and desks that are connected to each other and i think it looks nice and is more comfortable than the connected ones.,,,my friends,,,,no thank you,
