Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Voter,Location- Which campus are you located?:,First Impressions- What did you think when you first saw the furniture?:,First Impressions- What piece of furniture caught your eye first?: 1,First Impressions- What piece of furniture caught your eye first?: 2,First Impressions- What piece of furniture caught your eye first?: 3,First Impressions- What piece of furniture caught your eye first?: 4,First Impressions- What piece of furniture caught your eye first?: 5,First Impressions- What piece of furniture caught your eye first?: 6,First Impressions- What piece of furniture caught your eye first?: 7,First Impressions- What piece of furniture caught your eye first?: 8,First Impressions- What piece of furniture caught your eye first?: 9,First Impressions- What piece of furniture caught your eye first?: 10,First Impressions- What piece of furniture caught your eye first?: 11,Comfort- Have you tested all 4 chairs?:,Comfort- Which is your favorite chair?:,Comfort- Why is it your favorite chair?: 1,Comfort- Why is it your favorite chair?: 2,Comfort- Why is it your favorite chair?: 3,Comfort- Why is it your favorite chair?: 4,Comfort- How comfortable is your favorite chair?:,Comfort- How long can you comfortably sit in your favorite chair?:,Functionality- Have you tested all 4 tables?:,Functionality- Which is your favorite desk?:,Functionality- Why is it your favorite desk?: 1,Functionality- Why is it your favorite desk?: 2,Functionality- Why is it your favorite desk?: 3,Functionality- Why is it your favorite desk?: 4,Functionality- Which desk gives you enough space to work? (select all that apply): 1,Functionality- Which desk gives you enough space to work? (select all that apply): 2,Functionality- Which desk gives you enough space to work? (select all that apply): 3,Functionality- Which desk gives you enough space to work? (select all that apply): 4,Functionality- Which desk gives you enough space to work? (select all that apply): 5,Functionality- How often are you rearranging the desks during class?:,Functionality- Which desk is easiest to move or adjust? (select all that apply): 1,Functionality- Which desk is easiest to move or adjust? (select all that apply): 2,Functionality- Which desk is easiest to move or adjust? (select all that apply): 3,Functionality- Which desk is easiest to move or adjust? (select all that apply): 4,Functionality- What are your complaints about the desks?: 1,Functionality- What are your complaints about the desks?: 2,Functionality- What are your complaints about the desks?: 3,Functionality- What are your complaints about the desks?: 4,Functionality- What are your complaints about the desks?: 5,Functionality- What are your complaints about the desks?: 6,Functionality- What are your complaints about the desks?: 7,Functionality- What are your complaints about the desks?: 8,Style- Is the most comfortable chair also your favorite chair design?:,Style- If you could redesign anything about the design of the chair what would it be?: 1,Style- If you could redesign anything about the design of the chair what would it be?: 2,Style- If you could redesign anything about the design of the chair what would it be?: 3,Style- If you could redesign anything about the design of the chair what would it be?: 4,Style- Is your favorite desk also your favorite desk design?:,"Style- If you could redesign anything about your favorite desk, what would it be?: 1","Style- If you could redesign anything about your favorite desk, what would it be?: 2",Overall Experience- How does the furniture affect the function of the classroom? :,Overall Experience- What is your overall feeling about the new classroom furniture?: 1,Overall Experience- What is your overall feeling about the new classroom furniture?: 2,Overall Experience- What is your overall feeling about the new classroom furniture?: 3,Overall Experience- Is there anything you miss about your old classroom?: 1,Overall Experience- Is there anything you miss about your old classroom?: 2,Overall Experience- Is there anything you miss about your old classroom?: 3,Overall Experience- Is there anything you miss about your old classroom?: 4,Overall Experience- Any other thoughts or suggesstions?: 1,Overall Experience- Any other thoughts or suggesstions?: 2
2025-12-16,11,Midland Freshman High School,It looks interesting,how is going to work,,,,,,,,,,,Yes,Chair 3,because its big,,,,Somewhat comfortable,Entire class,Yes,Desk 1,because it's no too short,,,,Desk 1,,,,,Weekly,Desk 1,,,,some of them are to high,,,,,,,,Could be better,the thing where you seat,,,,Yes. it's awesome,nothing,,No big difference,its good,,,no,,,,no,
2025-12-16,12,Midland Freshman High School,"Wow, I love it!",the dog under the stairs because it looks like a real dog and is just cool,,,,,,,,,,,Yes,Chair 3,because its big and its comfortable,,,,Very comfortable,Most of the time,Yes,Desk 1,because its better than the other ones,,,,Desk 3,,,,,Classroom layout stays the same,Desk 2,,,,nothing,,,,,,,,Yes. it's awesome,more bendable on your back,,,,Yes. it's awesome,how high you want it,,It's a nice upgrade,I don't see it,,,no,,,,no,
2025-12-16,13,Lee Freshman High School,It looks interesting,not,yes,yes,beri gut,,,,,,,,Yes,Chair 4,number 5,,,,Somewhat comfortable,1/2 of the class,Yes,Desk 3,number 3,,,,Desk 3,,,,,Weekly,Desk 3,,,,,,,,,,,,It's fine,,,,,It's fine,,,It's a nice upgrade,yes,,,yes,no,,,,
2025-12-16,14,Midland Freshman High School,It looks interesting,the piece of furniture that I would say would be at Bob mills furniture store. 67,,,,,,,,,,,No,Chair 2,bc it doesn't have a hole in the bottom so my ahh is showin,,,,Somewhat comfortable,Entire class,Yes,Desk 3,it doesn't move that much the other ones locks don't work that good,,,,Desk 3,Desk 1,,,,Periodically (as needed),Desk 3,Desk 3,,,it moves easily bc of the wheels on every side of it not just the front,,,,,,,,It's fine,I would make it curve a lil less because my back hurts if I'm not up and I'm slouched,,,,It's fine,nothing its good the way it is ig,,No big difference,its alright,,,nah it was even worse,,,,nope,
2025-12-16,15,Midland Freshman High School,It looks interesting,The desks with the chair because its the only thing to sit on.,,,,,,,,,,,No,Chair 4,Its really comfortable when I sit on it and it doesn't hurt to sit on it.,,,,Very comfortable,Entire class,No,Desk 3,I just like it it has enough room to do ur work on it.,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,Some of the desks can be off balanced.,,,,,,,,It's fine,Nothing really because its a good chair.,,,,It's fine,I'd make a little bigger.,I'd make it a little bigger.,No big difference,It's good furniture.,,,Nothing at all because it feels the same.,,,,no,
2025-12-16,16,Midland Freshman High School,"Wow, I love it!",My first impression of a furniture that caught my eye first was the classes on how they have it clean.,,,,,,,,,,,Yes,Chair 3,It's my favorite chair because it is more comfortable and doesn't hurt your back.,,,,Very comfortable,Entire class,No,Desk 1,it is more longer it gives you space to work with a partner,,,,Desk 3,,,,,Weekly,Desk 2,,,,I don't have any complains,,,,,,,,Could be better,proba ly add the back of the seat a comfortable thing,,,,Yes. it's awesome,take off the rolling thing because sometimes you forget to put the thing down so it could stay stile .,,No big difference,It's better then my old schools,,,Probably the table groups we had,,,,No,
2025-12-16,17,Midland Freshman High School,"Wow, I love it!",The desk. I loved the desk!,"The desk, I loved the desk!",The desk,the desk,the desk,"The desk, I loved the desk!",,,,,,Yes,Chair 3,It's super comfortable to sit in,,,,Very comfortable,Most of the time,Yes,Desk 3,It is spaceable,,,,Desk 3,Desk 3,,,,Periodically (as needed),Desk 3,Desk 3,,,Noneee,,,,,,,,Yes. it's awesome,I would probably just add fluffiness to the chair so that way its so much comfy :),,,,It's fine,Nothinggggggg,,No big difference,I LOVEE ITT,,,Nope.,,,,Of course not,
2025-12-16,18,Midland Freshman High School,It looks interesting,My impression was it looked new,desk,,,,,,,,,,Yes,Chair 2,cause it doesn't have that hole in the back,,,,Somewhat comfortable,Entire class,Yes,Desk 1,I don't know,,,,Desk 2,,,,,Periodically (as needed),Desk 2,,,,nothing,,,,,,,,It's fine,nothing,,,,It's fine,nothing,nothing,No big difference,I don't know,,,no,,,,no,
2025-12-16,19,Midland Freshman High School,It looks interesting,"The silver of the chair and the silver on the legs of the table.
Only because it was shiny and it made it more fancier.",,,,,,,,,,,No,Chair 3,It is because it gives me more room to relax my back on.,,,,Somewhat comfortable,1/2 of the class,No,Desk 3,It is my favorite desk because it gives me more room to work on like if im doing a poster i can put my whole poster on it and not a lot would be hanging off.,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,Its small.,,,,,,,,Could be better,"It would be the color because the classroom would look a lot better if it was color coded. i would change it to white if i want it modern or pink if i want my classroom looking cute,",,,,Could be better,"Same thing with the chair, the color, it will make the classroom so much better,",,It's a nice upgrade,Its nice i just wished teachers decorated their classroom more.,,,only that it had a pet snake.,,,,Decorate your classroom more put some LED lights and color code it. for me if you do that it will make me feel more comfortable and want to learn because of how cool and oragnized the classroom looks.,
2025-12-16,20,Midland Freshman High School,It looks interesting,the chairs,,,,,,,,,,,No,Chair 3,I don't know,,,,Very comfortable,Entire class,No,Desk 2,idk,,,,All of them,,,,,Periodically (as needed),Desk 1,,,,none,,,,,,,,It's fine,idk,,,,Could be better,idk,,It's a nice upgrade,its nice,,,nah,,,,nope,
2025-12-16,21,Midland Freshman High School,It looks interesting,ninguno,,,,,,,,,,,Yes,Chair 4,porque es la mas comoda,,,,Very comfortable,Entire class,Yes,Desk 2,es grande y tiene mucho espacio,,,,Desk 2,,,,,Daily,Desk 1,,,,nd,,,,,,,,Yes. it's awesome,k,,,,Yes. it's awesome,,,,,,,,,,,,
2025-12-16,22,Midland Freshman High School,How is this going to work?,one piece of furniture that caught my eye first where some of the new chairs and tables because the new chairs  look way better then the ones we had last year,And in the library they have like this new little stools and new tables that look more comfortable then the ones ay my old school library and in the library they have this couches that you can sit,,,,,,,,,,No,Chair 1,the reason this is my favorite chair is because its not hard its really comfortable then the ones we had last years because the chairs we had last year where more harder and really not as comfortable,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,because its big and i can go my work good,,,,Desk 1,Desk 3,,,,Daily,Desk 1,Desk 3,Desk 2,,nothing really,,,,,,,,It's fine,i would make it a bit more comfortable,,,,It's fine,just a bit more bigger and more taller,,No big difference,its good it could be a bit more better,,,no  not at all,,,,no,
2025-12-16,23,Midland Freshman High School,It looks interesting,the connected chairs to the desk,different types of chairs,,,,,,,,,,Yes,Chair 3,because its not connected to a desk and its comfortable,,,,Somewhat comfortable,Entire class,Yes,Desk 2,"it has enough space for my stuff to be displayed like my Chromebook,notebook,etc",,,,Desk 2,Desk 3,,,,Periodically (as needed),Desk 3,,,,some of them are squeaky or they wont move when you push them to move,,,,,,,,It's fine,maybe the color,,,,It's fine,make it a bit wider,,It's a nice upgrade,its decent,,,no,,,,no that's it,
2025-12-16,24,Midland Freshman High School,How is this going to work?,That the desk are coneccted to the chairs when we all used to using the ones that aren´t just very diferent and unconfortable,,,,,,,,,,,Yes,Chair 3,Because this has a little more room for you to sit and its not that hard,,,,Somewhat comfortable,1/2 of the class,Yes,Desk 3,I perfer this one because i can mobilelize this anywhere and everywhere,,,,Desk 2,,,,,Periodically (as needed),Desk 3,,,,none at all just the ones that are connected to eachother,,,,,,,,Could be better,Make them more confotable,,,,Could be better,Nothing really just a tiny tiny bit more of space,,No big difference,Boring and unconfortable,,,Just the desk that werent connected just felt like i was in an iss room with these connected desk,,,,Nope,
2025-12-16,25,Midland Freshman High School,It looks interesting,the new desk caught my attention,,,,,,,,,,,No,Chair 2,because It feels the most comfortable one I've sat in,,,,Somewhat comfortable,Most of the time,No,Desk 3,because I like rolling my tables,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,the others can't move,,,,,,,,It's fine,make it more comfortable,,,,It's fine,make it with more room to do work,,It's a nice upgrade,it fine,,,no not really,,,,no,
2025-12-17,26,Lee High School,"Wow, I love it!",The piece of furniture caught your eye first was the separate chair and desk and the different colors.,,,,,,,,,,,Yes,Chair 3,"It is the most comfortable, it is lightweight, and it has a nice design.",,,,Very comfortable,Entire class,Yes,Desk 2,It holds keep the paper on the desk and it has a lot of space. It also fits with other desks.,,,,Desk 3,Desk 2,,,,Periodically (as needed),Desk 2,,,,I have no complaints.,,,,,,,,Yes. it's awesome,Nothing,,,,Yes. it's awesome,Nothing,,It's a nice upgrade,I like it and I makes classrooms look more modern.,,,No.,,,,Should add cup holders that can slide in and out and add arm rests.,
2025-12-17,27,Lee High School,It looks interesting,The period organizers by the door.,,,,,,,,,,,No,Chair 3,I like this type of chair because it is comfortable and relaxing.,,,,Very comfortable,Entire class,Yes,Desk 1,It is very spacious and it's easy to do work on.,,,,Desk 1,,,,,Classroom layout stays the same,Desk 1,,,,The grey one with two wheels is too small and can be uncomfortable,,,,,,,,Yes. it's awesome,"I would add cushion, a cup holder, and a place to hold things.",,,,Yes. it's awesome,no,,No big difference,nothing,,,no,,,,no,
